WEEKLY,,,,,,,,,,MONTHLY,,,,,,,,
MARKET CUSTOMERS,,,,,,,,,,MARKET CUSTOMERS,,,,,,,,
DATE,ZONE 1,Zone 1 Sales,Outside,Zone 2,Zone 2 Sales,Zone 3,Zone 3 Sales,TOTAL Sales,Revenue,Month ,TOTAL,Revenue,,Month,Zone 1,Zone 2,Zone 3,Total
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16-May,0,#REF!,#REF!,,,
,,,,,,,,,,,,16-Jun,0,#REF!,#REF!,,,
,,,,,,,,,,,,16-Jul,0,#REF!,#REF!,,,
,,,,,,,,,,,,16-Aug,0,#REF!,#REF!,,,
,,,,,,,,,,,,16-Sep,0,#REF!,#REF!,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,Month,,,,,,,,,
,,,,,,,,,16-May,,,,,,,,,
,,,,,,,,,16-Jun,,,,,,,,,
,,,,,,,,,16-Jul,,,,,,,,,
,,,,,,,,,16-Aug,,,,,,,,,
,,,,,,,,,16-Sep,,,,,,,,,
,,,,,,,,,16-Oct,,,,,,,,,
,,,,,,,,,16-Nov,,,,,,,,,
,,,,,,,,,16-Dec,,,,,,,,,
